ID AVG WORKFLOW PLATFORM PIPELINE CORES FILES DATA_MB LATENCY BANDWITH SIMULATION_S MEASURED_MKSP_S ERR_MKSP MEASURED_WALLTIME_S ERR_WALLTIME
28183952 13 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 126.508 129.046 0.0196701 152.392 0.169853
28183952 14 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 129.643 134.341 0.0349651 159.72 0.18831
28183952 15 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 127.563 130.484 0.022382 170.384 0.25132
28183962 1 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 119.106 118.095 0.00856582 144.04 0.173104
28183962 2 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 120.375 119.509 0.00725273 134.913 0.107759
28183962 3 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 118.339 117.662 0.00575908 137.11 0.136901
28183962 4 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 118.386 119.211 0.0069151 145.618 0.187005
28183962 5 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 118.49 117.985 0.00427412 125.288 0.0542605
28183962 6 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 121.341 122.027 0.0056194 137.729 0.118986
28183962 7 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 123.746 126.028 0.0181054 151.956 0.185647
28183962 8 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 121.914 128.546 0.0515994 154.768 0.21228
28183962 9 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 120.799 126.371 0.0440891 148.675 0.187492
28183962 10 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 118.776 119.214 0.00367772 150.935 0.213065
28183962 11 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 117.645 115.994 0.0142284 140.92 0.165165
28183962 12 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 117.951 117.537 0.00352581 126.021 0.0640365
28183962 13 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 117.925 116.651 0.0109261 146.596 0.195578
28183962 14 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 118.48 118.189 0.00245771 149.99 0.210084
28183962 15 swarp-0.dax cori.xml 1 1 16 384.258 0.117647 2.32143 117.185 115.995 0.0102656 150.389 0.220785
28183923 1 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 114.079 114.157 0.000689131 137.068 0.167721
28183923 2 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 114.401 115.017 0.00535203 130.467 0.123141
28183923 3 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 114.025 113.625 0.00352249 127.949 0.10882
28183923 4 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 113.819 112.248 0.0139954 149.943 0.240918
28183923 5 swarp-0.dax cori.xml 1 1 36 939.282 0.117647 2.32143 114.115 112.226 0.0168333 132.137 0.136388
